payment_id,customer_id,rental_id,amount,payment_date
16185,333,4,4.99,2017-01-24 21:33:07-05
16186,334,13,6.99,2017-01-24 22:51:21-05
16187,334,431,8.99,2017-01-27 14:59:31-05
16188,337,374,6.99,2017-01-27 06:54:56-05
16189,337,572,4.99,2017-01-28 08:58:39-05
16190,337,839,8.99,2017-01-29 22:56:38-05
16191,338,675,0.99,2017-01-28 20:51:10-05
16192,339,876,5.99,2017-01-30 04:09:48-05
16193,343,102,3.99,2017-01-25 15:50:36-05
16194,343,455,3.99,2017-01-27 18:11:55-05
16195,344,157,2.99,2017-01-25 23:53:47-05
16196,344,813,5.99,2017-01-29 18:43:00-05
16197,345,206,0.99,2017-01-26 06:30:20-05
16198,345,363,0.99,2017-01-27 05:42:26-05
16199,346,65,4.99,2017-01-25 08:00:29-05
16200,346,810,4.99,2017-01-29 17:40:30-05
16201,348,153,0.99,2017-01-25 23:16:13-05
16202,348,821,0.99,2017-01-29 19:59:38-05
16203,349,890,4.99,2017-01-30 06:11:30-05
16204,350,24,4.99,2017-01-25 01:21:28-05
16205,350,802,4.99,2017-01-29 16:07:25-05
16206,351,1137,1.99,2017-01-31 17:48:40-05
16207,352,784,2.99,2017-01-29 13:12:48-05
16208,353,1103,6.99,2017-01-31 12:52:44-05
16209,354,140,0.99,2017-01-25 22:02:48-05
16210,354,158,1.99,2017-01-25 23:55:37-05
16211,354,402,0.99,2017-01-27 11:45:44-05
16212,355,1110,3.99,2017-01-31 13:51:17-05
16213,356,1088,4.99,2017-01-31 10:03:39-05
16214,357,144,2.99,2017-01-25 22:18:22-05
16215,357,824,4.99,2017-01-29 20:13:58-05
16216,357,945,0.99,2017-01-30 14:01:43-05
16217,358,858,4.99,2017-01-30 00:38:58-05
16218,359,284,8.99,2017-01-26 17:50:10-05
16219,359,392,2.99,2017-01-27 09:43:08-05
16220,359,528,3.99,2017-01-28 02:58:31-05
16221,360,633,0.99,2017-01-28 16:06:25-05
16222,360,777,4.99,2017-01-29 12:36:24-05
16223,361,368,5.99,2017-01-27 06:10:55-05
16224,361,1120,4.99,2017-01-31 15:05:40-05
16225,362,1035,4.99,2017-01-31 03:29:35-05
16226,363,733,3.99,2017-01-29 06:03:47-05
16227,364,462,5.99,2017-01-27 18:39:02-05
16228,365,120,5.99,2017-01-25 18:06:13-05
16229,365,231,4.99,2017-01-26 10:00:25-05
16230,366,911,6.99,2017-01-30 09:18:48-05
16231,367,939,0.99,2017-01-30 13:18:00-05
16232,367,1089,2.99,2017-01-31 10:06:55-05
16233,368,64,5.99,2017-01-25 07:49:55-05
16234,368,125,5.99,2017-01-25 19:17:16-05
16235,368,836,2.99,2017-01-29 22:25:08-05
16236,368,949,2.99,2017-01-30 14:19:05-05
16237,369,31,4.99,2017-01-25 02:33:43-05
16238,369,294,4.99,2017-01-26 18:58:23-05
16239,369,854,0.99,2017-01-30 00:24:37-05
16240,369,913,7.99,2017-01-30 09:33:24-05
16241,371,26,3.99,2017-01-25 02:05:16-05
16242,371,286,6.99,2017-01-26 18:13:17-05
16243,371,381,4.99,2017-01-27 08:11:51-05
16244,371,384,5.99,2017-01-27 08:46:46-05
16245,371,825,0.99,2017-01-29 20:18:07-05
16246,371,829,2.99,2017-01-29 20:45:08-05
16247,372,617,2.99,2017-01-28 14:17:40-05
16248,372,638,2.99,2017-01-28 16:53:09-05
16249,373,257,4.99,2017-01-26 13:55:31-05
16250,374,521,0.99,2017-01-28 02:00:48-05
16251,374,910,2.99,2017-01-30 09:14:42-05
16252,374,919,0.99,2017-01-30 10:03:32-05
16253,375,307,8.99,2017-01-26 20:16:39-05
16254,375,412,4.99,2017-01-27 12:45:49-05
16255,375,749,4.99,2017-01-29 08:01:59-05
16256,375,873,2.99,2017-01-30 03:43:46-05
16257,376,554,0.99,2017-01-28 06:51:42-05
16258,378,347,0.99,2017-01-27 03:08:59-05
16259,379,209,4.99,2017-01-26 06:42:27-05
16260,379,863,4.99,2017-01-30 01:43:25-05
16261,380,847,3.99,2017-01-29 23:46:41-05
16262,381,169,0.99,2017-01-26 01:37:56-05
16263,381,406,2.99,2017-01-27 12:15:12-05
16264,381,835,2.99,2017-01-29 22:05:26-05
16265,382,356,2.99,2017-01-27 05:00:56-05
16266,382,522,2.99,2017-01-28 02:01:46-05
16267,383,63,0.99,2017-01-25 07:47:42-05
16268,383,766,8.99,2017-01-29 10:15:28-05
16269,384,103,4.99,2017-01-25 15:59:08-05
16270,384,279,2.99,2017-01-26 16:31:16-05
16271,384,898,0.99,2017-01-30 07:54:45-05
16272,384,1013,2.99,2017-01-31 01:05:26-05
16273,385,917,2.99,2017-01-30 09:55:32-05
16274,385,1038,4.99,2017-01-31 03:52:13-05
16275,386,583,7.99,2017-01-28 10:17:21-05
16276,387,302,4.99,2017-01-26 19:42:12-05
16277,387,697,7.99,2017-01-29 00:32:30-05
16278,387,841,4.99,2017-01-29 22:59:43-05
16279,387,1127,3.99,2017-01-31 16:14:15-05
16280,388,21,4.99,2017-01-25 00:28:12-05
16281,388,411,4.99,2017-01-27 12:42:40-05
16282,389,998,4.99,2017-01-30 22:45:23-05
16283,390,254,4.99,2017-01-26 13:12:14-05
16284,390,912,4.99,2017-01-30 09:26:59-05
16285,391,73,4.99,2017-01-25 09:28:33-05
16286,391,210,2.99,2017-01-26 06:42:41-05
16287,391,317,5.99,2017-01-26 21:52:22-05
16288,391,870,2.99,2017-01-30 02:54:13-05
16289,391,891,7.99,2017-01-30 06:11:38-05
16290,393,599,4.99,2017-01-28 12:34:23-05
16291,393,886,0.99,2017-01-30 05:23:17-05
16292,394,213,3.99,2017-01-26 07:12:34-05
16293,394,977,2.99,2017-01-30 19:50:52-05
16294,396,641,5.99,2017-01-28 17:14:13-05
16295,397,1002,0.99,2017-01-30 23:16:22-05
16296,398,486,4.99,2017-01-27 22:19:38-05
16297,399,10,5.99,2017-01-24 22:30:47-05
16298,399,694,6.99,2017-01-29 00:18:09-05
16299,399,883,4.99,2017-01-30 04:49:31-05
16300,400,95,3.99,2017-01-25 14:41:18-05
16301,400,171,6.99,2017-01-26 01:42:41-05
16302,400,516,1.99,2017-01-28 01:40:13-05
16303,400,894,5.99,2017-01-30 06:59:57-05
16304,401,167,4.99,2017-01-26 01:18:57-05
16305,401,446,4.99,2017-01-27 17:17:07-05
16306,401,811,1.99,2017-01-29 17:59:08-05
16307,402,801,1.99,2017-01-29 16:04:16-05
16308,403,442,2.99,2017-01-27 16:40:39-05
16309,403,517,0.99,2017-01-28 01:46:23-05
16310,404,1081,5.99,2017-01-31 09:24:58-05
16311,405,121,2.99,2017-01-25 18:09:55-05
16312,405,770,4.99,2017-01-29 11:25:16-05
16313,406,855,0.99,2017-01-30 00:28:54-05
16314,407,619,7.99,2017-01-28 14:20:52-05
16315,408,3,3.99,2017-01-24 21:32:05-05
16316,408,59,5.99,2017-01-25 07:25:08-05
16317,408,526,2.99,2017-01-28 02:56:03-05
16318,409,310,6.99,2017-01-26 21:09:33-05
16319,411,686,4.99,2017-01-28 22:55:36-05
16320,411,972,1.99,2017-01-30 18:49:33-05
16321,412,191,0.99,2017-01-26 04:42:32-05
16322,412,333,4.99,2017-01-27 01:20:47-05
16323,412,717,0.99,2017-01-29 03:06:10-05
16324,412,1043,3.99,2017-01-31 04:40:06-05
16325,413,40,4.99,2017-01-25 03:37:30-05
16326,413,999,4.99,2017-01-30 22:53:36-05
16327,414,85,4.99,2017-01-25 11:34:00-05
16328,414,261,3.99,2017-01-26 14:12:49-05
16329,415,665,4.99,2017-01-28 20:07:05-05
16330,416,253,0.99,2017-01-26 13:11:40-05
16331,416,724,3.99,2017-01-29 04:21:49-05
16332,416,1031,2.99,2017-01-31 02:51:27-05
16333,417,267,4.99,2017-01-26 14:44:47-05
16334,417,630,8.99,2017-01-28 15:53:17-05
16335,417,833,4.99,2017-01-29 21:50:22-05
16336,419,62,2.99,2017-01-25 07:47:18-05
16337,420,744,4.99,2017-01-29 07:41:34-05
16338,421,507,0.99,2017-01-28 00:59:45-05
16339,421,931,0.99,2017-01-30 11:21:27-05
16340,422,398,0.99,2017-01-27 11:12:29-05
16341,424,403,0.99,2017-01-27 11:57:18-05
16342,425,1098,5.99,2017-01-31 12:20:14-05
16343,426,604,0.99,2017-01-28 13:05:33-05
16344,427,82,6.99,2017-01-25 10:46:12-05
16345,428,634,4.99,2017-01-28 16:09:01-05
16346,429,150,5.99,2017-01-25 22:57:05-05
16347,429,290,2.99,2017-01-26 18:36:59-05
16348,429,601,7.99,2017-01-28 12:36:48-05
16349,429,799,4.99,2017-01-29 15:53:14-05
16350,429,844,4.99,2017-01-29 23:26:46-05
16351,430,30,2.99,2017-01-25 02:29:58-05
16352,430,364,4.99,2017-01-27 05:48:38-05
16353,431,1126,2.99,2017-01-31 15:56:11-05
16354,432,326,7.99,2017-01-26 23:38:37-05
16355,432,550,5.99,2017-01-28 06:07:42-05
16356,432,897,8.99,2017-01-30 07:38:27-05
16357,433,146,8.99,2017-01-25 22:35:37-05
16358,433,691,10.99,2017-01-28 23:29:52-05
16359,434,508,5.99,2017-01-28 01:09:16-05
16360,435,757,7.99,2017-01-29 08:58:13-05
16361,435,806,4.99,2017-01-29 16:59:56-05
16362,436,45,7.99,2017-01-25 04:28:05-05
16363,436,256,3.99,2017-01-26 13:49:24-05
16364,436,848,5.99,2017-01-29 23:48:19-05
16365,437,192,2.99,2017-01-26 04:49:03-05
16366,437,656,4.99,2017-01-28 18:46:50-05
16367,437,666,5.99,2017-01-28 20:17:17-05
16368,438,23,4.99,2017-01-25 01:08:47-05
16369,438,1036,0.99,2017-01-31 03:49:36-05
16370,438,1138,6.99,2017-01-31 17:58:53-05
16371,439,126,2.99,2017-01-25 19:36:25-05
16372,439,367,0.99,2017-01-27 06:05:28-05
16373,439,786,9.99,2017-01-29 13:45:54-05
16374,440,957,4.99,2017-01-30 16:21:55-05
16375,441,823,4.99,2017-01-29 20:08:03-05
16376,442,466,0.99,2017-01-27 19:25:33-05
16377,442,558,6.99,2017-01-28 07:07:09-05
16378,442,632,5.99,2017-01-28 16:06:16-05
16379,443,1068,4.99,2017-01-31 08:00:41-05
16380,444,201,8.99,2017-01-26 05:42:11-05
16381,444,557,0.99,2017-01-28 07:04:48-05
16382,445,481,2.99,2017-01-27 21:17:53-05
16383,445,960,2.99,2017-01-30 16:41:49-05
16384,446,14,0.99,2017-01-24 22:59:41-05
16385,446,236,0.99,2017-01-26 10:22:15-05
16386,446,355,4.99,2017-01-27 04:43:59-05
16387,447,461,2.99,2017-01-27 18:37:21-05
16388,447,732,0.99,2017-01-29 06:01:17-05
16389,448,299,4.99,2017-01-26 19:24:02-05
16390,448,1123,2.99,2017-01-31 15:17:09-05
16391,449,263,4.99,2017-01-26 14:16:06-05
16392,449,325,5.99,2017-01-26 23:38:21-05
16393,449,849,7.99,2017-01-29 23:51:33-05
16394,450,548,3.99,2017-01-28 06:03:22-05
16395,451,77,0.99,2017-01-25 10:00:25-05
16396,451,328,2.99,2017-01-26 23:57:57-05
16397,451,1113,2.99,2017-01-31 14:27:10-05
16398,452,354,2.99,2017-01-27 04:40:52-05
16399,452,714,2.99,2017-01-29 02:43:47-05
16400,452,726,1.99,2017-01-29 04:33:55-05
16401,454,735,7.99,2017-01-29 06:36:39-05
16402,455,115,0.99,2017-01-25 17:41:51-05
16403,455,343,0.99,2017-01-27 02:42:07-05
16404,456,19,4.99,2017-01-24 23:45:50-05
16405,457,1024,7.99,2017-01-31 01:58:45-05
16406,459,2,2.99,2017-01-24 21:22:59-05
16407,460,223,4.99,2017-01-26 08:43:49-05
16408,460,298,0.99,2017-01-26 19:20:52-05
16409,460,880,0.99,2017-01-30 04:40:59-05
16410,460,1064,4.99,2017-01-31 07:18:33-05
16411,461,684,6.99,2017-01-28 22:41:41-05
16412,462,156,2.99,2017-01-25 23:47:31-05
16413,462,590,3.99,2017-01-28 11:35:16-05
16414,463,560,1.99,2017-01-28 07:21:28-05
16415,464,305,3.99,2017-01-26 19:50:33-05
16416,464,373,1.99,2017-01-27 06:44:51-05
16417,465,640,0.99,2017-01-28 17:11:52-05
16418,466,1104,2.99,2017-01-31 12:58:27-05
16419,467,225,4.99,2017-01-26 08:56:16-05
16420,468,101,6.99,2017-01-25 15:45:30-05
16421,468,186,4.99,2017-01-26 04:01:18-05
16422,468,296,6.99,2017-01-26 19:03:45-05
16423,468,459,0.99,2017-01-27 18:28:30-05
16424,468,673,0.99,2017-01-28 20:35:56-05
16425,469,168,0.99,2017-01-26 01:36:09-05
16426,469,506,7.99,2017-01-28 00:37:45-05
16427,469,529,4.99,2017-01-28 03:02:43-05
16428,469,936,1.99,2017-01-30 12:21:15-05
16429,469,1119,2.99,2017-01-31 15:02:53-05
16430,470,60,2.99,2017-01-25 07:26:51-05
16431,471,616,2.99,2017-01-28 14:14:05-05
16432,472,142,0.99,2017-01-25 22:12:13-05
16433,472,249,2.99,2017-01-26 12:47:35-05
16434,472,800,0.99,2017-01-29 15:56:38-05
16435,472,994,4.99,2017-01-30 22:24:02-05
16436,473,348,4.99,2017-01-27 03:19:22-05
16437,473,942,2.99,2017-01-30 13:34:13-05
16438,473,973,3.99,2017-01-30 18:56:11-05
16439,474,816,7.99,2017-01-29 18:55:05-05
16440,475,417,4.99,2017-01-27 13:35:53-05
16441,475,702,0.99,2017-01-29 00:55:56-05
16442,476,489,4.99,2017-01-27 22:37:38-05
16443,476,771,2.99,2017-01-29 11:27:40-05
16444,477,882,2.99,2017-01-30 04:44:32-05
16445,479,132,3.99,2017-01-25 20:15:20-05
16446,479,709,7.99,2017-01-29 02:16:27-05
16447,480,518,0.99,2017-01-28 01:46:28-05
16448,480,720,6.99,2017-01-29 03:45:56-05
16449,480,822,9.99,2017-01-29 20:04:26-05
16450,481,1109,5.99,2017-01-31 13:40:41-05
16451,482,259,8.99,2017-01-26 14:01:12-05
16452,482,680,2.99,2017-01-28 21:55:52-05
16453,482,879,0.99,2017-01-30 04:18:08-05
16454,483,742,6.99,2017-01-29 07:04:56-05
16455,484,35,4.99,2017-01-25 02:53:02-05
16456,484,668,2.99,2017-01-28 20:23:11-05
16457,484,727,2.99,2017-01-29 04:36:41-05
16458,485,1009,2.99,2017-01-31 00:16:01-05
16459,486,909,8.99,2017-01-30 09:12:04-05
16460,486,946,2.99,2017-01-30 14:03:34-05
16461,486,1129,0.99,2017-01-31 16:29:14-05
16462,489,219,4.99,2017-01-26 08:10:11-05
16463,489,513,2.99,2017-01-28 01:36:36-05
16464,490,585,6.99,2017-01-28 10:19:11-05
16465,490,676,4.99,2017-01-28 20:56:17-05
16466,491,484,2.99,2017-01-27 21:55:11-05
16467,491,1097,0.99,2017-01-31 12:07:08-05
16468,492,84,2.99,2017-01-25 11:04:56-05
16469,493,543,7.99,2017-01-28 05:12:00-05
16470,494,608,4.99,2017-01-28 13:32:10-05
16471,495,623,4.99,2017-01-28 14:29:54-05
16472,495,741,4.99,2017-01-29 07:04:15-05
16473,496,322,4.99,2017-01-26 23:16:01-05
16474,496,966,0.99,2017-01-30 17:29:03-05
16475,497,1100,7.99,2017-01-31 12:31:47-05
16476,498,49,2.99,2017-01-25 05:08:01-05
16477,498,429,8.99,2017-01-27 14:49:52-05
16478,498,718,2.99,2017-01-29 03:20:49-05
16479,499,89,2.99,2017-01-25 12:56:55-05
16480,500,112,8.99,2017-01-25 17:25:50-05
16481,500,389,8.99,2017-01-27 09:14:07-05
16482,500,610,0.99,2017-01-28 13:43:51-05
16483,501,493,0.99,2017-01-27 23:02:37-05
16484,501,605,1.99,2017-01-28 13:07:36-05
16485,502,258,2.99,2017-01-26 13:56:40-05
16486,502,861,0.99,2017-01-30 01:16:58-05
16487,502,893,2.99,2017-01-30 06:35:25-05
16488,502,965,0.99,2017-01-30 17:28:40-05
16489,503,109,1.99,2017-01-25 17:08:46-05
16490,503,353,5.99,2017-01-27 04:32:05-05
16491,503,631,2.99,2017-01-28 16:04:58-05
16492,503,1074,4.99,2017-01-31 08:33:08-05
16493,504,136,5.99,2017-01-25 20:30:56-05
16494,504,470,4.99,2017-01-27 19:45:34-05
16495,504,838,4.99,2017-01-29 22:56:23-05
16496,505,159,2.99,2017-01-26 00:02:54-05
16497,505,645,2.99,2017-01-28 17:42:35-05
16498,506,114,3.99,2017-01-25 17:41:08-05
16499,506,387,2.99,2017-01-27 09:03:53-05
16500,506,410,3.99,2017-01-27 12:39:48-05
16501,506,547,8.99,2017-01-28 05:52:54-05
16502,506,907,0.99,2017-01-30 09:05:53-05
16503,506,1042,2.99,2017-01-31 04:21:26-05
16504,506,1153,4.99,2017-01-31 20:05:10-05
16505,507,52,0.99,2017-01-25 05:19:55-05
16506,507,713,4.99,2017-01-29 02:38:43-05
16507,508,369,2.99,2017-01-27 06:15:15-05
16508,508,921,2.99,2017-01-30 10:21:35-05
16509,509,22,4.99,2017-01-25 00:47:49-05
16510,509,831,8.99,2017-01-29 21:18:51-05
16511,510,75,8.99,2017-01-25 09:42:00-05
16512,510,372,5.99,2017-01-27 06:42:24-05
16513,510,1118,4.99,2017-01-31 14:51:28-05
16514,511,56,2.99,2017-01-25 06:56:37-05
16515,511,819,3.99,2017-01-29 19:28:58-05
16516,513,993,4.99,2017-01-30 22:22:45-05
16517,514,536,4.99,2017-01-28 04:45:59-05
16518,515,187,8.99,2017-01-26 04:11:03-05
16519,515,292,6.99,2017-01-26 18:50:38-05
16520,516,339,3.99,2017-01-27 02:15:44-05
16521,516,571,1.99,2017-01-28 08:46:07-05
16522,517,850,4.99,2017-01-30 00:03:38-05
16523,518,710,2.99,2017-01-29 02:17:02-05
16524,519,1056,3.99,2017-01-31 06:16:33-05
16525,520,962,6.99,2017-01-30 17:13:43-05
16526,522,426,5.99,2017-01-27 14:25:23-05
16527,523,42,4.99,2017-01-25 03:53:24-05
16528,523,664,0.99,2017-01-28 19:59:34-05
16529,524,118,0.99,2017-01-25 17:59:44-05
16530,524,982,4.99,2017-01-30 20:43:50-05
16531,525,437,5.99,2017-01-27 16:15:48-05
16532,526,495,4.99,2017-01-27 23:09:14-05
16533,526,679,4.99,2017-01-28 21:53:23-05
16534,526,1015,2.99,2017-01-31 01:13:23-05
16535,528,204,0.99,2017-01-26 05:59:03-05
16536,528,472,0.99,2017-01-27 20:04:41-05
16537,528,533,5.99,2017-01-28 04:43:12-05
16538,528,695,3.99,2017-01-29 00:19:19-05
16539,528,793,5.99,2017-01-29 15:12:34-05
16540,529,453,2.99,2017-01-27 17:59:42-05
16541,530,851,0.99,2017-01-30 00:03:41-05
16542,531,233,4.99,2017-01-26 10:12:10-05
16543,531,681,2.99,2017-01-28 22:08:10-05
16544,532,43,2.99,2017-01-25 04:07:51-05
16545,533,173,0.99,2017-01-26 02:10:36-05
16546,533,190,1.99,2017-01-26 04:39:54-05
16547,533,615,5.99,2017-01-28 14:04:18-05
16548,534,304,5.99,2017-01-26 19:49:54-05
16549,534,940,0.99,2017-01-30 13:29:28-05
16550,535,37,0.99,2017-01-25 03:12:57-05
16551,535,541,2.99,2017-01-28 05:10:24-05
16552,535,778,3.99,2017-01-29 12:38:19-05
16553,535,959,4.99,2017-01-30 16:35:26-05
16554,536,237,0.99,2017-01-26 10:43:39-05
16555,536,929,6.99,2017-01-30 11:01:05-05
16556,537,603,4.99,2017-01-28 12:56:17-05
16557,538,594,2.99,2017-01-28 12:10:22-05
16558,538,734,4.99,2017-01-29 06:07:18-05
16559,539,250,4.99,2017-01-26 12:58:50-05
16560,539,342,0.99,2017-01-27 02:39:30-05
16561,541,1021,7.99,2017-01-31 01:44:41-05
16562,541,1066,4.99,2017-01-31 07:35:59-05
16563,542,220,4.99,2017-01-26 08:35:15-05
16564,542,376,4.99,2017-01-27 07:26:41-05
16565,543,243,6.99,2017-01-26 11:34:31-05
16566,543,476,1.99,2017-01-27 21:00:02-05
16567,544,397,2.99,2017-01-27 10:57:28-05
16568,544,864,2.99,2017-01-30 01:55:43-05
16569,545,248,0.99,2017-01-26 12:36:24-05
16570,545,715,3.99,2017-01-29 02:51:07-05
16571,546,197,5.99,2017-01-26 05:27:47-05
16572,546,482,6.99,2017-01-27 21:21:28-05
16573,547,306,0.99,2017-01-26 20:00:23-05
16574,547,443,8.99,2017-01-27 17:03:46-05
16575,547,1094,1.99,2017-01-31 11:32:15-05
16576,548,177,6.99,2017-01-26 02:42:55-05
16577,548,743,4.99,2017-01-29 07:07:28-05
16578,548,872,3.99,2017-01-30 03:31:30-05
16579,549,6,0.99,2017-01-24 21:36:33-05
16580,549,852,4.99,2017-01-30 00:05:23-05
16581,549,906,3.99,2017-01-30 08:59:04-05
16582,549,1086,4.99,2017-01-31 09:46:03-05
16583,550,922,7.99,2017-01-30 10:24:21-05
